Id;ClassLabel
1;0.010519743
2;0.02174761
3;0.0021032
4;0.20433743
5;0.004303207
6;0.3491876
7;0.000844955
8;0.002324442
9;0.002645314
10;0.18827374
11;0.033753324
12;0.000929405
13;0.005039235
14;0.46410215
15;0.90846825
16;0.004825036
17;0.14996038
18;0.041124057
19;0.42148742
20;0.007408708
21;0.002836078
22;0.09643856
23;0.001374155
24;0.007288525
25;0.599276
26;0.15031232
27;0.44160616
28;0.1885298
29;0.20667328
30;0.01000909
31;0.003601849
32;0.058035027
33;0.000893811
34;0.0009769
35;0.002437443
36;0.000844191
37;0.002007355
38;0.02098467
39;0.010343224
40;0.002764096
41;0.07533428
42;0.003493697
43;0.03663833
44;0.01264587
45;0.06633196
46;0.12693441
47;0.002934198
48;0.001393149
49;0.006994794
50;0.002767841
51;0.00103871
52;0.001877824
53;0.264385
54;0.006093502
55;0.17289197
56;0.003529221
57;0.16502146
58;0.001590411
59;0.109518915
60;0.00344638
61;0.040712386
62;0.001297802
63;0.000833611
64;0.001151621
65;0.19617665
66;0.002461801
67;0.003611296
68;0.13451307
69;0.5002077
70;0.001371086
71;0.10302547
72;0.001418521
73;0.003512412
74;0.001146177
75;0.000668794
76;0.52132773
77;0.09312611
78;0.001306027
79;0.003375938
80;0.09710372
81;0.002361298
82;0.000985622
83;0.003023227
84;0.000868688
85;0.2433049
86;0.001714061
87;0.008825968
88;0.000496288
89;0.68367434
90;0.004753321
91;0.000900139
92;0.002301941
93;0.08886903
94;0.030350426
95;0.10378057
96;0.8479224
97;0.8712318
98;0.012792806
99;0.007273863
100;0.15487373
101;0.002655208
102;0.002111822
103;0.12630036
104;0.000527779
105;0.3140181
106;0.27468634
107;0.00199011
108;0.12029207
109;0.002518435
110;0.040987473
111;0.000817984
112;0.20046239
113;0.069223605
114;0.001611849
115;0.001974801
116;0.002307743
117;0.9611334
118;0.11733118
119;0.07264813
120;0.006477425
121;0.001570781
122;0.67845196
123;0.000703762
124;0.10619738
125;0.11247444
126;0.001334429
127;0.000936419
128;0.30718118
129;0.063307226
130;0.003337066
131;0.001464407
132;0.011416405
133;0.001646052
134;0.001383315
135;0.000930717
136;0.079118975
137;0.000324746
138;0.016869048
139;0.025713056
140;0.002303114
141;0.000813554
142;0.2607601
143;0.057171542
144;0.00492082
145;0.011881392
146;0.014063786
147;0.001608878
148;0.023890695
149;0.001324087
150;0.02573073
151;0.00338161
152;0.000640641
153;0.000877351
154;0.052721232
155;0.002917369
156;0.15315785
157;0.027165791
158;0.006921242
159;0.79709
160;0.002087941
161;0.016714513
162;0.00278916
163;0.5269823
164;0.001518706
165;0.019157568
